model,N,keybits,S,acc_plain@opt,auc_plain,acc_he@opt,auc_he,time_total_s,time_per_sample_s
LDA,64,2048,10000,0.703125,0.7409948542024014,0.703125,0.7409948542024014,450.7596926689148,7.043120197951794
LDA,64,3072,10000,0.703125,0.7409948542024014,0.703125,0.7409948542024014,1896.4655847549438,29.632274761795998
LDA,128,2048,10000,0.65625,0.6666666666666667,0.65625,0.6666666666666667,906.4434039592743,7.08158909343183
LDA,256,2048,10000,0.6015625,0.6002985631647695,0.6015625,0.6002985631647695,2247.243190050125,8.778293711133301
